010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
317030        BIRAKAN             RA 4900N 13143E 0228   
317070        EKATERINO-NIKOL'SKO RA 4744N 13058E 0074   
317100        LENINSKOE           RA 4756N 13238E 0056   
317130        BIROBIDZAN          RA 4842N 13253E 0076   
317250        SMIDOVIC            RA 4837N 13350E 0053   
317330        ELABUGA             RA 4849N 13553E 0041   
317350 UHHH   HABAROVSK/NOVY      RA 4831N 13510E 0072   
317360        HABAROVSK           RA 4832N 13514E 0072   
317540        TIVJAKU             RA 4836N 13703E 0403   
317660        IOLI                RA 4839N 13859E 0382   
317700        SOVETSKAJA GAVAN    RA 4858N 14018E 0022   
317860        VJAZEMSKAJA         RA 4733N 13449E 0084   
317900        VERINO              RA 4759N 13505E 0085   
317910        KHOR                RA 4753N 13504E 0067   
317920        BICEVAJA            RA 4746N 13538E 0102   
318010        GVASJUGI            RA 4740N 13611E 0180   
318150        SUKPAY              RA 4741N 13729E 0488   
318230        GROSSEVICI          RA 4758N 13932E 0003   
318250        AGZU                RA 4736N 13824E 0160   
318290        CAPE ZOLOTOJ        RA 4719N 13859E 0026   
318320        BIKIN               RA 4648N 13416E 0062   
318450        KRASNYJ JAR         RA 4632N 13519E 0130   
318510        GAMCANZA            RA 4641N 13616E 0244   
318660        SOSUNOVO            RA 4632N 13820E 0004   
318690        KHUCIN              RA 4604N 13753E 0010   
318730        DAL'NERECENSK       RA 4552N 13344E 0107   
318780        KIROVSKIJ           RA 4506N 13330E 0095   
318840        MALINOVO            RA 4525N 13416E 0139   
318950        UST-KOLUMBE         RA 4516N 13530E 0335   
319090        TERNEJ              RA 4502N 13640E 0068   
319130        TURIJ ROG           RA 4513N 13159E 0082   
319150        POGRANICNYJ         RA 4424N 13123E 0211   
319170        POLTAVKA            RA 4402N 13119E 0109   
319210        ASTRAHANKA          RA 4443N 13204E 0075   
319240        KHORAL              RA 4426N 13204E 0128   
319260        SPASSK-DALNII       RA 4436N 13249E 0096   
319310        SVIJAGINO           RA 4448N 13305E 0099   
319350        JAKOLEVKA           RA 4425N 13329E 0154   
319390        CUGUEVKA            RA 4409N 13352E 0258   
319420        ZURAVLEVKA          RA 4445N 13428E 0170   
319430        ZAVETNOJE           RA 4442N 13442E 0299   
319580        BOGOPOL             RA 4415N 13528E 0050   
319590        RUDNAJA PRISTAN     RA 4422N 13551E 0034   
319600 UHWW   VLADIVOSTOK         RA 4307N 13154E 0184   
319610        POKROVKA            RA 4352N 13143E 0061   
319660        TEREHOVKA           RA 4333N 13153E 0022   
319690        POS'ET              RA 4239N 13048E 0036   
319700        NAHODKA             RA 4248N 13252E 0121   
319740        ARTEM               RA 4322N 13210E 0046   
319770        SAD-GOROD           RA 4316N 13203E 0082   
319810        ANUCINO             RA 4358N 13304E 0190   
319870        PARTIZANSK          RA 4309N 13301E 0202   
319890        PREOBRAZENIE        RA 4254N 13354E 0034   
319940        BEREZNJAKI          RA 4335N 13410E 0503   
319960        MARGARITOVO         RA 4326N 13446E 0025   
320040        RYBNOVSK            RA 5315N 14155E 0004   
320100        OHA                 RA 5334N 14256E 0008   
320130        KAJGAN              RA 5334N 14245E 0004   
320270        POGIBI              RA 5213N 14138E 0007   
320360        CAJVO               RA 5222N 14311E 0006   
320450        VIAHTU              RA 5136N 14154E 0014   
320530        NOGLIKI             RA 5155N 14308E 0034   
320570        ADO-TYMOVO          RA 5108N 14240E 0065   
320590        KONGI               RA 5106N 14333E 0015   
320610        ALEKSANDROVSK-SAHAL RA 5054N 14210E 0031   
320690        PILVO               RA 5003N 14210E 0004   
320710        TYMOVSKOE           RA 5044N 14243E 0095   
320760        POGRANICNOE         RA 5024N 14346E 0008   
320770        ONOR                RA 5014N 14235E 0175   
320880        UGLEGORSK           RA 4905N 14204E 0053   
320980        PORONAJSK           RA 4913N 14306E 0004   
320990        CAPE TERPENIJA      RA 4839N 14440E 0033   
321160        MAKAROV             RA 4839N 14251E 0038   
321210        ILYINSKIY           RA 4759N 14212E 0019   
321280        HOLMSK              RA 4703N 14203E 0044   
321330        DOLINSK             RA 4720N 14248E 0042   
321450        NEVELSK             RA 4637N 14157E 0006   
321500 UHSS   JUZNO-SAHALINSK     RA 4655N 14244E 0031   
321560        KORSAKOV            RA 4638N 14251E 0034   
321580        JUZNOJE (LGT-H)     RA 4613N 14327E 0021   
321650        JUZNO-KURILSK       RA 4401N 14552E 0040   
321660        MALO-KURILSKOJE     RA 4345N 14640E 0065   
321740        KURILSK             RA 4516N 14758E 0038   
321860        URUP ISLAND         RA 4612N 15030E 0070   
321950        SIMUSIR ISLAND      RA 4651N 15152E 0026   
322070        MATUA ISLAND        RA 4803N 15315E 0068   
322130        CAPE LOPATKA        RA 5052N 15640E 0048   
322150        SEVERO-KURILSK      RA 5041N 15608E 0023   
322170        CAPE VASILEVA       RA 5000N 15523E 0016   
322520        UST'VAJAMPOLKA      RA 5830N 15910E 0007   
322870        UST-HAJRJUZOVO      RA 5704N 15650E 0008   
323890        KLJUCI              RA 5919N 16050E 0028   
324080        UST-KAMCATSK        RA 5613N 16228E 0027   
324110        ICA                 RA 5535N 15535E 0004   
324470        DOLINOVKA           RA 5507N 15904E 0100   
325090        SEMJACHIK           RA 5405N 15957E 0026   
325190        STOROZ BAY          RA 5436N 16110E 0015   
325400 UHPP   PETROPAVLOVSK-KAMCA RA 5258N 15845E 0024   
325620        BOL'SHERETSKIY      RA 5256N 15634E 0027   
325640        OKTIABR'SKAYA       RA 5240N 15614E 0006   
325830        PETROPAVLOVSK       RA 5259N 15839E 0024   
325940        OZERNAJA            RA 5129N 15629E 0029   
325960        HODUTKA             RA 5147N 15802E 0018   
326180        NIKOLSKOE/BERINGA   RA 5512N 16559E 0006   
330080        BREST               BY 5207N 02341E 0144   
330190        PINSK               BY 5207N 02608E 0144   
330270        ZITKOVICI           BY 5213N 02753E 0138   
330360        MOZYR'              BY 5202N 02911E 0173   
330380        VASILEVICI          BY 5215N 02950E 0140   
330410        GOMEL'              BY 5227N 03100E 0127   
330490        SEMENOVKA           UR 5211N 03235E 0160   
330580        HUTOR MIHAJLOVSKIJ  UR 5203N 03357E 0189   
330750        PNEVNO              UR 5140N 02516E 0152   
330880        SARNY               UR 5121N 02637E 0153   
331350        CERNIGOV            UR 5129N 03117E 0137   
331360        VOLSKOVTSKY         UR 5134N 03158E 0143   
331560        GLUKHOV             UR 5141N 03355E 0180   
331730        KOVEL'              UR 5113N 02441E 0176   
331770        VLADIMIR-VOLYNSKIJ  UR 5050N 02419E 0193   
331870        LUCK                UR 5045N 02520E 0196   
332130        OVRUC               UR 5119N 02847E 0171   
332150        KOROSTEN            UR 5057N 02839E 0189   
332280        TETEREV             UR 5042N 02935E 0132   
332310        CERNOBYL'           UR 5117N 03014E 0127   
332360        OSTER               UR 5057N 03053E 0104   
332460        NEZIN               UR 5103N 03154E 0126   
332610        KONOTOP             UR 5114N 03312E 0149   
332680        ROMNY               UR 5046N 03327E 0169   
332710        BELOPOL'E           UR 5109N 03420E 0156   
332750        SUMY                UR 5053N 03447E 0174   
332870        RAVA RUSSKAJA       UR 5015N 02338E 0249   
332880        KAMENKA-BUGSKAYA    UR 5006N 02421E 0228   
332970        BRODY               UR 5006N 02509E 0227   
333010        ROVNO               UR 5035N 02608E 0234   
333120        NOVGOROD VOLYNSKIJ  UR 5036N 02737E 0218   
333170        SEPETOVKA           UR 5010N 02703E 0278   
333250        ZITOMIR             UR 5016N 02838E 0227   
333390        FASTOV              UR 5005N 02955E 0209   
333450 UKKK   KIEV/ZHULYANY       UR 5024N 03027E 0168   
333470 UKBB   BORISPOL'/KEIV    & UR 5020N 03058E 0119   
333560        JAGOTIN             UR 5013N 03148E 0128   
333620        PRILUKI             UR 5035N 03223E 0132   
333740        LOHVICA             UR 5022N 03316E 0127   
333760        GADJAC              UR 5022N 03359E 0156   
333770        LUBNY               UR 5001N 03300E 0156   
333820        LEBEDIN             UR 5035N 03429E 0142   
333910        MOSTISKA            UR 4948N 02309E 0216   
333920        YAVOROV             UR 4956N 02323E 0229   
333930 UKLL   L'VIV               UR 4949N 02357E 0325   
333980        DROGOBYC            UR 4921N 02333E 0276   
334090        BEREZANY            UR 4926N 02457E 0301   
334150        TERNOPOL'           UR 4934N 02536E 0324   
334210        YAMPOL'             UR 4958N 02615E 0282   
334290        HMEL'NICKIJ         UR 4924N 02659E 0351   
334460        BELOPOL'E           UR 4950N 02853E 0238   
334640        BELAJA CERKOV'      UR 4947N 03011E 0179   
334660        IMENI STARCENKO     UR 4940N 03100E 0155   
334840        ZOLOTONOSA          UR 4941N 03202E 0097   
334870        CERKASSY            UR 4926N 03204E 0107   
334950        VESELYJ PODOL       UR 4937N 03316E 0091   
335060        POLTAVA             UR 4936N 03433E 0159   
335130        STRYY               UR 4915N 02351E 0306   
335140        VELIKIY BEREZNY     UR 4854N 02228E 0195   
335150        SKOLE               UR 4902N 02331E 0549   
335170        PERECHIN            UR 4844N 02228E 0198   
335240        KALUSH              UR 4901N 02422E 0285   
335260        IVANO-FRANKOVSK     UR 4854N 02442E 0276   
335360        CERTKOV             UR 4901N 02547E 0279   
335480        KAMENETS PODOL'SKIJ UR 4840N 02635E 0228   
335570        NOVAYA ULICA        UR 4851N 02716E 0277   
335620        VINNICA             UR 4914N 02828E 0298   
335710        LIPOVEC             UR 4915N 02914E 0299   
335770        GAJSIN              UR 4848N 02924E 0211   
335810        ZHASHKOV            UR 4915N 03006E 0224   
335860        OZERNA              UR 4905N 03053E 0125   
335870        UMAN'               UR 4846N 03014E 0216   
335930        ROTMISTROVKA        UR 4908N 03142E 0168   
336050        CHYHYRYN            UR 4904N 03240E 0124   
336090        ZNAMENKA            UR 4843N 03240E 0181   
336140        SVITLOVODS'K        UR 4903N 03315E 0084   
336150        KREMENCUG           UR 4902N 03326E 0080   
336210        KOBELIAKY           UR 4909N 03412E 0118   
336310        UZGOROD             UR 4838N 02216E 0118   
336450        YASNYA              UR 4816N 02422E 0731   
336510        KOLOMYJA            UR 4832N 02502E 0298   
336570        SELETIN             UR 4752N 02513E 0762   
336580        CHERNIVTSI          UR 4822N 02554E 0246   
336630        MOGILEV-PODOL'SKIJ  UR 4827N 02747E 0079   
336640        BRICANY             UR 4822N 02706E 0238   
336780        SOROKI              UR 4809N 02818E 0173   
336790        KAMENKA             UR 4803N 02842E 0154   
336990        PERVOMAIJSK         UR 4803N 03051E 0103   
337050        POMICHNA            UR 4815N 03125E 0211   
337110        KIROVOGRAD          UR 4829N 03215E 0172   
337170        BOBRYNETS'          UR 4803N 03212E 0143   
337230        KOMISSAROVKA        UR 4826N 03354E 0119   
337450        BEL'CY              UR 4744N 02755E 0104   
337480        KORNESTY            UR 4720N 02800E 0207   
337540        VORONKOVO           UR 4742N 02908E 0199   
337610        LJUBASEVKA          UR 4751N 03016E 0182   
337770        VOZNESENSK          UR 4734N 03120E 0033   
337880        BASTANKA            UR 4725N 03228E 0084   
337910        KRYVYI RIH          UR 4302N 03313E 0125   
338050        NIKOPOL'            UR 4735N 03424E 0056   
338150 UKII   KISINEV             UR 4701N 02852E 0180   
338330        SERBKA              UR 4701N 03045E 0073   
338340        RAZDEL'NAJA         UR 4651N 03005E 0152   
338370 UKOO   ODESSA/TSENTRALNY   UR 4626N 03046E 0035   
338460        NIKOLAEV            UR 4658N 03158E 0052   
338620        VELIKAIA ALEKSANDRO UR 4719N 03317E 0056   
338690        KAHOVKA             UR 4648N 03331E 0025   
338770        NIZNIE SEROGOZY     UR 4651N 03424E 0054   
338810        LEOVO               UR 4628N 02815E 0034   
338830        KOMRAT              UR 4618N 02840E 0136   
338850        KAGUL               UR 4554N 02811E 0039   
338890        IZMAIL              UR 4522N 02852E 0030   
338920        TIRASPOL            UR 4650N 02937E 0043   
338960        SARATA              UR 4601N 02940E 0014   
339020        HERSON              UR 4640N 03237E 0048   
339070        BEHTERY             UR 4612N 03218E 0005   
339100        GENICESK            UR 4610N 03449E 0015   
339150        ASKANIJA-NOVA       UR 4627N 03353E 0028   
339170        PRIMORSKIY          UR 4603N 03327E 0012   
339220        NOVO-SELOVSKOYE     UR 4527N 03336E 0015   
339240        CERNOMORSKOE        UR 4531N 03242E 0006   
339290        EVPATORIJA          UR 4511N 03322E 0003   
339340        DZANKOJ             UR 4543N 03424E 0008   
339390        KLEPYNINE           UR 4539N 03412E 0037   
339450        POCTOVOE            UR 4450N 03357E 0170   
339460 UKFF   SIMFEROPOL'         UR 4441N 03408E 0181   
339590        ALUSTA              UR 4441N 03425E 0005   
339600        SOVETSKIY           UR 4521N 03457E 0018   
339620        NIZNEGORSK          UR 4527N 03444E 0020   
339660        KRYMSKAYA           UR 4503N 03436E 0183   
339730        VLADISLAVOVKA       UR 4510N 03523E 0037   
339760        FEODOSIJA           UR 4502N 03523E 0026   
339810        CAPE KAZANTIP (LH)  UR 4528N 03552E 0101   
339830        KERC'               UR 4524N 03625E 0049   
339900        JALTA               UR 4430N 03410E 0072   
339940        SEVASTOPOL/BELBEK   UR 4441N 03334E 0085   
339990        AJ-PETRI MOUNTAIN   UR 4428N 03404E 1180   
340030        PONYRI              RS 5219N 03618E 0251   
340090        KURSK               RS 5146N 03610E 0247   
340470        ZERDEVKA            RS 5150N 04129E 0148   
340560        RTISCEVO            RS 5215N 04347E 0211   
340630        PETROVSK            RS 5217N 04524E 0198   
340690        ATKARSK             RS 5152N 04502E 0185   
340720        KARABULAK           RS 5220N 04622E 0292   
340830        HVALYNSK            RS 5230N 04805E 0089   
340980        PUGACEV             RS 5200N 04848E 0043   
341090        OBOJAN'             RS 5113N 03617E 0196   
341160        STARYJ OSKOL        RS 5118N 03753E 0218   
341220 UUOO   VORONEZ             RS 5142N 03910E 0154   
341230        VORONEZ             RS 5142N 03913E 0149   
341390        KAMENNAJA STEP'     RS 5103N 04042E 0194   
341460        BORISOGLEBSK        RS 5122N 04205E 0106   
341520        BALASOV             RS 5133N 04309E 0154   
341630        OKTJABRSKIJ VILLAGE RS 5138N 04527E 0190   
